ID_Compra,Producto_ID,SKU,Nombre_Producto,Proveedor,Fecha_Compra,Cantidad_Comprada,Precio_Unitario_USD,Total_Compra_USD,Stock_Acumulado,Costo_Promedio_USD,Tipo_Compra
1,1,0RT28,Sandalias Deportivas Acuáticas,Mundo de Calzado,2022-12-15,203,6.4785315105000025,1315.1418966315005,203,6.4785315105000025,Inicial
2,32,5TJ23,Zapatos Oxford Piel Ejecutivos,Almacenes Siman,2022-12-15,170,10.692805496400004,1817.7769343880007,170,10.692805496400004,Inicial
3,31,5IF41,Sandalias Tipo Huarache Tradicionales,Adoc S.A. de C.V.,2022-12-15,179,6.758335197,1209.742000263,179,6.758335197,Inicial
4,30,5GN30,Botas Montaña Hiking Adventure,Mundo de Calzado,2022-12-15,210,10.266642958500004,2155.995021285001,210,10.266642958500004,Inicial
5,29,5GF68,Calzado Fútbol Tacos Profesionales,Calzado Lexus,2022-12-15,200,10.0686280419,2013.72560838,200,10.0686280419,Inicial
6,28,5GE27,Sandalias Playa Flip-Flop Confort,Calzado Prada El Salvador,2022-12-15,168,6.439789461600001,1081.8846295488001,168,6.439789461600001,Inicial
7,27,5BM69,Zapatillas Deportivas Running Pro,Mundo de Calzado,2022-12-15,177,9.8361757485,1741.0031074845,177,9.8361757485,Inicial
8,26,4QI22,Botas Fashion Urbanas Mujer,Almacenes Siman,2022-12-15,193,12.3759322875,2388.5549314874997,193,12.3759322875,Inicial
9,25,4PJ19,Zapatos Mocasín Elegantes Sin Cordón,Calzado Prada El Salvador,2022-12-15,197,13.5726311313,2673.8083328661,197,13.5726311313,Inicial
10,24,4KL66,Botas Senderismo Trail Explorer,Hilasal (Hilandería de Centro América),2022-12-15,184,15.019000956900001,2763.4961760696,184,15.019000956900001,Inicial
11,23,4HJ92,Zapatos Salón Tacón Medio Oficina,Mundo de Calzado,2022-12-15,205,12.746134088100002,2612.9574880605005,205,12.746134088100002,Inicial
12,22,4HC51,Zapatillas Running Trail Mountain,Mundo de Calzado,2022-12-15,187,13.4822330172,2521.1775742164,187,13.4822330172,Inicial
13,21,3YB32,Sandalias Plataforma Mujer Elegantes,Adoc S.A. de C.V.,2022-12-15,168,8.480204037,1424.674278216,168,8.480204037,Inicial
14,34,5UB78,Zapatillas Skate Urban Style,Mundo de Calzado,2022-12-15,186,9.853394436900004,1832.7313652634007,186,9.853394436900004,Inicial
15,20,3UK92,Zapatillas Casual Canvas Juveniles,Payless ShoeSource El Salvador,2022-12-15,209,9.577895422500001,2001.7801433025002,209,9.577895422500001,Inicial
16,18,3RE23,Botas Motociclista Protección Total,Calzado Prada El Salvador,2022-12-15,208,12.0659958963,2509.7271464304,208,12.0659958963,Inicial
17,17,3LV37,Zapatillas Running Ligeras Performance,Mundo de Calzado,2022-12-15,193,10.2709476306,1982.2928927058,193,10.2709476306,Inicial
18,16,3JK90,Calzado Golf Waterproof Premium,Calzado Prada El Salvador,2022-12-15,184,11.235194181000002,2067.2757293040004,184,11.235194181000002,Inicial
19,15,3JK76,Sandalias Cuero Artesanales Premium,Calzado Prada El Salvador,2022-12-15,170,8.0325181386,1365.5280835620001,170,8.0325181386,Inicial
20,14,3ET67,Zapatos Loafer Borlas Ejecutivos,Hilasal (Hilandería de Centro América),2022-12-15,196,12.315666878100004,2413.870708107601,196,12.315666878100004,Inicial
21,13,2WE71,Tacones Stiletto Mujer Elegantes,Mundo de Calzado,2022-12-15,191,7.9507293687,1518.5893094217001,191,7.9507293687,Inicial
22,12,2TK59,Sandalias Gladiador Fashion Mujer,Almacenes Siman,2022-12-15,192,6.8099912622000005,1307.5183223424,192,6.8099912622000005,Inicial
23,11,2RW93,Zapatillas Slip-On Casual Relax,Almacenes Siman,2022-12-15,202,9.074248786800004,1832.9982549336007,202,9.074248786800004,Inicial
24,10,2LM04,Botas Casual Chukka Ante,Diana Comercial,2022-12-15,208,12.5309004831,2606.4273004848,208,12.5309004831,Inicial
25,9,2JV62,Sandalias Ortopédicas Soporte Arco,Adoc S.A. de C.V.,2022-12-15,203,7.399731339900004,1502.145461999701,203,7.399731339900004,Inicial
26,8,2JD90,Calzado Boxing Botín Competencia,Diana Comercial,2022-12-15,174,9.806043043799999,1706.2514896211999,174,9.806043043799999,Inicial
27,7,2JD29,Calzado Natación Acuático Grip,Adoc S.A. de C.V.,2022-12-15,177,8.4500713323,1495.6626258171,177,8.4500713323,Inicial
28,19,3TU20,Zapatos Oxford Mujer Profesionales,Payless ShoeSource El Salvador,2022-12-15,198,11.2954595904,2236.5009988992,198,11.2954595904,Inicial
29,35,5XY10,Zapatos Tipo Brogue Premium Cuero,Adoc S.A. de C.V.,2022-12-15,204,16.6978230759,3406.3559074836003,204,16.6978230759,Inicial
30,36,6BC45,Sandalias Playa Niños Coloridas,Payless ShoeSource El Salvador,2022-12-15,187,4.532819721300001,847.6372878831002,187,4.532819721300001,Inicial
31,37,6GH85,Calzado Ciclismo Clips Performance,Payless ShoeSource El Salvador,2022-12-15,193,10.3182990237,1991.4317115741,193,10.3182990237,Inicial
32,64,2EW02,Calzado Boxing Botín Competencia,Adoc S.A. de C.V.,2022-12-15,178,8.583516167400003,1527.8658777972005,178,8.583516167400003,Inicial
33,63,TAG3,Calzado Natación Acuático Grip,Mundo de Calzado,2022-12-15,188,9.052725426300004,1701.9123801444007,188,9.052725426300004,Inicial
34,62,TAG2,Botas Lluvia Impermeables Pro,Diana Comercial,2022-12-15,184,13.998793669200005,2575.778035132801,184,13.998793669200005,Inicial
35,61,TAG1,Botas Invierno Térmicas Impermeables,Calzado Prada El Salvador,2022-12-15,183,14.0891917833,2578.3220963439003,183,14.0891917833,Inicial
36,60,WLCH1,Zapatillas Tenis Premium Leather,Diana Comercial,2022-12-15,216,15.092180382600002,3259.9109626416007,216,15.092180382600002,Inicial
37,59,XS56,Calzado Gym Training Multisport,Almacenes Siman,2022-12-15,182,13.034547118800004,2372.287575621601,182,13.034547118800004,Inicial
38,58,9OL25,Botas Trabajo Punta Acero Seguridad,Mundo de Calzado,2022-12-15,184,10.920953117700002,2009.4553736568002,184,10.920953117700002,Inicial
39,57,9OK21,Sandalias Deportivas Acuáticas,Calzado Prada El Salvador,2022-12-15,181,8.359673218200003,1513.1008524942006,181,8.359673218200003,Inicial
40,56,9GQ28,Zapatos Monk Strap Doble Hebilla,Adoc S.A. de C.V.,2022-12-15,190,15.298804643400002,2906.7728822460003,190,15.298804643400002,Inicial
41,55,8VS71,Zapatillas Lifestyle Urban Street,Adoc S.A. de C.V.,2022-12-15,218,10.8865157409,2373.2604315162002,218,10.8865157409,Inicial
42,54,8UF78,Zapatillas Casual Urbanas Confort,Adoc S.A. de C.V.,2022-12-15,184,12.302752861800004,2263.706526571201,184,12.302752861800004,Inicial
43,53,8TF72,Zapatos Penny Loafer Clásicos,Calzado Prada El Salvador,2022-12-15,186,14.549791698000003,2706.2612558280007,186,14.549791698000003,Inicial
44,52,8NN54,Botas Vaqueras Western Clásicas,Calzado Prada El Salvador,2022-12-15,196,10.9726091829,2150.6313998483997,196,10.9726091829,Inicial
45,51,8LG34,Botas Militares Tácticas Combat,Calzado Lexus,2022-12-15,179,12.746134088100002,2281.5580017699003,179,12.746134088100002,Inicial
46,50,8DO33,Botas Chelsea Casual Premium,Payless ShoeSource El Salvador,2022-12-15,185,14.851118744999999,2747.456967825,185,14.851118744999999,Inicial
47,49,8BC37,Zapatillas Basketball High Top,Calzado Prada El Salvador,2022-12-15,208,8.6179535442,1792.5343371936,208,8.6179535442,Inicial
48,48,7YV41,Calzado Tenis Clay Court Especial,Payless ShoeSource El Salvador,2022-12-15,178,10.546446645,1877.26750281,178,10.546446645,Inicial
49,47,7TY55,Zapatillas Walking Confort Plus,Hilasal (Hilandería de Centro América),2022-12-15,172,10.404392465700003,1789.5555041004004,172,10.404392465700003,Inicial
