periodo_id,cuenta_id,saldo_inicial,debitos,creditos,saldo_final
202401,1,0.00,500000.00,0.00,500000.00
202401,2,0.00,0.00,300000.00,-300000.00
202401,3,0.00,250000.00,0.00,250000.00
202401,4,0.00,150000.00,0.00,150000.00
202401,5,0.00,0.00,200000.00,-200000.00
202401,6,0.00,120000.00,0.00,120000.00
202402,1,500000.00,350000.00,100000.00,750000.00
202402,2,-300000.00,50000.00,250000.00,-500000.00
202402,3,250000.00,180000.00,20000.00,410000.00
202402,4,150000.00,220000.00,30000.00,340000.00
202402,5,-200000.00,40000.00,180000.00,-340000.00
202402,6,120000.00,90000.00,15000.00,195000.00
202403,1,750000.00,420000.00,120000.00,1050000.00
202403,2,-500000.00,80000.00,320000.00,-740000.00
202403,3,410000.00,210000.00,35000.00,585000.00
202403,4,340000.00,190000.00,45000.00,485000.00
202403,5,-340000.00,60000.00,240000.00,-520000.00
202403,6,195000.00,110000.00,25000.00,280000.00
