periodo_id,cuenta_id,fecha_id,saldo_inicial,debitos,creditos,saldo_final
1,1,1,0.00,500000.00,0.00,500000.00
1,2,1,0.00,0.00,300000.00,300000.00
1,3,1,0.00,250000.00,0.00,250000.00
1,4,1,0.00,150000.00,0.00,150000.00
1,5,1,0.00,0.00,450000.00,450000.00
1,6,1,0.00,0.00,150000.00,150000.00
2,1,2,500000.00,750000.00,0.00,1250000.00
2,2,2,300000.00,0.00,450000.00,750000.00
2,3,2,250000.00,380000.00,0.00,630000.00
2,4,2,150000.00,220000.00,0.00,370000.00
2,5,2,450000.00,0.00,670000.00,1120000.00
2,6,2,150000.00,0.00,230000.00,380000.00
3,1,3,1250000.00,950000.00,0.00,2200000.00
3,2,3,750000.00,0.00,580000.00,1330000.00
3,3,3,630000.00,520000.00,0.00,1150000.00
3,4,3,370000.00,340000.00,0.00,710000.00
3,5,3,1120000.00,0.00,870000.00,1990000.00
3,6,3,380000.00,0.00,320000.00,700000.00
