periodo_id,cuenta_id,centro_costo_id,ingresos,costos,gastos,utilidad_bruta,utilidad_neta
202401,7,1,850000.00,450000.00,120000.00,400000.00,280000.00
202401,8,2,620000.00,350000.00,95000.00,270000.00,175000.00
202401,9,3,540000.00,280000.00,88000.00,260000.00,172000.00
202401,10,1,720000.00,390000.00,105000.00,330000.00,225000.00
202401,11,2,680000.00,370000.00,98000.00,310000.00,212000.00
202402,7,1,920000.00,480000.00,135000.00,440000.00,305000.00
202402,8,2,710000.00,390000.00,108000.00,320000.00,212000.00
202402,9,3,590000.00,310000.00,95000.00,280000.00,185000.00
202402,10,1,780000.00,420000.00,115000.00,360000.00,245000.00
202402,11,2,740000.00,400000.00,105000.00,340000.00,235000.00
202403,7,1,1050000.00,540000.00,155000.00,510000.00,355000.00
202403,8,2,830000.00,450000.00,125000.00,380000.00,255000.00
202403,9,3,670000.00,350000.00,108000.00,320000.00,212000.00
202403,10,1,890000.00,470000.00,130000.00,420000.00,290000.00
202403,11,2,820000.00,440000.00,118000.00,380000.00,262000.00
