periodo_id,cuenta_id,centro_costo_id,fecha_id,ingresos,costos,gastos,utilidad_bruta,utilidad_neta
1,7,1,1,850000.00,450000.00,120000.00,400000.00,280000.00
1,8,2,1,620000.00,350000.00,95000.00,270000.00,175000.00
1,9,3,1,540000.00,280000.00,88000.00,260000.00,172000.00
1,10,1,1,720000.00,390000.00,105000.00,330000.00,225000.00
1,11,2,1,480000.00,260000.00,75000.00,220000.00,145000.00
2,7,1,2,920000.00,480000.00,135000.00,440000.00,305000.00
2,8,2,2,680000.00,375000.00,102000.00,305000.00,203000.00
2,9,3,2,595000.00,310000.00,94000.00,285000.00,191000.00
2,10,1,2,790000.00,420000.00,118000.00,370000.00,252000.00
2,11,2,2,530000.00,285000.00,82000.00,245000.00,163000.00
3,7,1,3,980000.00,510000.00,148000.00,470000.00,322000.00
3,8,2,3,735000.00,395000.00,110000.00,340000.00,230000.00
3,9,3,3,645000.00,335000.00,101000.00,310000.00,209000.00
3,10,1,3,850000.00,445000.00,128000.00,405000.00,277000.00
3,11,2,3,570000.00,305000.00,89000.00,265000.00,176000.00
