id,product_id,sku,product_name,almacen_id,proveedor_id,tipo_movimiento_id,fecha,cantidad,costo_unitario,costo_total,stock_anterior,stock_resultante,documento,observaciones
1,2,1AB92,ADIDAS ULTRABOOST 22 BLANCO,ALM001,PROV001,ENTRADA_COMPRA,2023-09-07,1785.0,107.2,191355.57,0.0,1785.0,COMP-000001,Compra inicial de ADIDAS ULTRABOOST 22 BLANCO
2,2,1AB92,ADIDAS ULTRABOOST 22 BLANCO,ALM002,PROV008,ENTRADA_COMPRA,2023-09-04,1003.0,107.2,107523.61,0.0,1003.0,COMP-000002,Compra inicial de ADIDAS ULTRABOOST 22 BLANCO
3,2,1AB92,ADIDAS ULTRABOOST 22 BLANCO,ALM003,PROV002,ENTRADA_COMPRA,2023-09-17,1002.0,107.2,107416.4,0.0,1002.0,COMP-000003,Compra inicial de ADIDAS ULTRABOOST 22 BLANCO
4,2,1AB92,ADIDAS ULTRABOOST 22 BLANCO,ALM003,,SALIDA_VENTA,2023-11-02,1.0,107.2,107.2,1002.0,1001.0,ORDEN-188086,Venta orden #188086
5,22,4HC51,ADIDAS GAZELLE VINTAGE AZUL,ALM001,PROV006,ENTRADA_COMPRA,2023-08-24,1724.0,71.46,123197.04,0.0,1724.0,COMP-000005,Compra inicial de ADIDAS GAZELLE VINTAGE AZUL
6,22,4HC51,ADIDAS GAZELLE VINTAGE AZUL,ALM002,PROV004,ENTRADA_COMPRA,2023-09-24,1514.0,71.46,108190.44,0.0,1514.0,COMP-000006,Compra inicial de ADIDAS GAZELLE VINTAGE AZUL
7,22,4HC51,ADIDAS GAZELLE VINTAGE AZUL,ALM003,PROV003,ENTRADA_COMPRA,2023-09-25,1972.0,71.46,140919.12,0.0,1972.0,COMP-000007,Compra inicial de ADIDAS GAZELLE VINTAGE AZUL
8,22,4HC51,ADIDAS GAZELLE VINTAGE AZUL,ALM002,,SALIDA_VENTA,2023-11-02,4.0,71.46,285.84,1514.0,1510.0,ORDEN-188086,Venta orden #188086
9,59,XS56,JORDAN WHY NOT ZER0.5 RUSS,ALM001,PROV001,ENTRADA_COMPRA,2023-08-19,1738.0,74.4,129307.2,0.0,1738.0,COMP-000009,Compra inicial de JORDAN WHY NOT ZER0.5 RUSS
10,59,XS56,JORDAN WHY NOT ZER0.5 RUSS,ALM002,PROV005,ENTRADA_COMPRA,2023-08-11,519.0,74.4,38613.6,0.0,519.0,COMP-000010,Compra inicial de JORDAN WHY NOT ZER0.5 RUSS
11,59,XS56,JORDAN WHY NOT ZER0.5 RUSS,ALM003,PROV005,ENTRADA_COMPRA,2023-10-02,1366.0,74.4,101630.4,0.0,1366.0,COMP-000011,Compra inicial de JORDAN WHY NOT ZER0.5 RUSS
12,59,XS56,JORDAN WHY NOT ZER0.5 RUSS,ALM003,,SALIDA_VENTA,2023-11-02,4.0,74.4,297.6,1366.0,1362.0,ORDEN-188086,Venta orden #188086
13,61,TAG1,NIKE KYRIE 8 INFINITY,ALM001,PROV005,ENTRADA_COMPRA,2023-09-14,1411.0,114.85,162047.71,0.0,1411.0,COMP-000013,Compra inicial de NIKE KYRIE 8 INFINITY
14,61,TAG1,NIKE KYRIE 8 INFINITY,ALM002,PROV001,ENTRADA_COMPRA,2023-08-30,1681.0,114.85,193056.13,0.0,1681.0,COMP-000014,Compra inicial de NIKE KYRIE 8 INFINITY
