categoria_id,codigo,nombre,descripcion,categoria_padre_id,nivel,activo
1,CAT001,Calzado Deportivo,Zapatillas deportivas,,1,TRUE
2,CAT002,Calzado Casual,Zapatos casuales,,1,TRUE
3,CAT003,Calzado Formal,Zapatos formales,,1,TRUE
4,CAT004,Botas,Botas diversas,,1,TRUE
5,CAT005,Sandalias,Sandalias verano,,1,TRUE
6,CAT006,Zapatos de Niño,Calzado infantil,,1,TRUE
7,CAT007,Zapatos de Mujer,Calzado femenino,,1,TRUE
8,CAT008,Zapatos de Hombre,Calzado masculino,,1,TRUE
9,CAT009,Accesorios,Accesorios varios,,1,TRUE
10,CAT010,Otros,Otros productos,,1,TRUE
