direccion_id,direccion_externo_id,calle,ciudad,codigo_postal,region,pais_codigo,direccion_completa,activo
1,1,Colonia Centro,Ahuachapán,01101,,SV,"Colonia Centro, Ahuachapán, SV",True
2,2,Colonia Centro,Ahuachapán,01101,,SV,"Colonia Centro, Ahuachapán, SV",True
3,3,Colonia Centro,Santa Ana,01101,,SV,"Colonia Centro, Santa Ana, SV",True
4,4,Colonia Centro,Santa Ana,01101,,SV,"Colonia Centro, Santa Ana, SV",True
5,5,Colonia Centro,Cojutepeque,01101,,SV,"Colonia Centro, Cojutepeque, SV",True
6,6,Colonia Centro,Cojutepeque,01101,,SV,"Colonia Centro, Cojutepeque, SV",True
7,7,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
8,8,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
9,9,Colonia Centro,La Libertad,01101,,SV,"Colonia Centro, La Libertad, SV",True
10,10,Colonia Centro,La Libertad,01101,,SV,"Colonia Centro, La Libertad, SV",True
11,11,Colonia Centro,San Vicente,01101,,SV,"Colonia Centro, San Vicente, SV",True
12,12,Colonia Centro,San Vicente,01101,,SV,"Colonia Centro, San Vicente, SV",True
13,13,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
14,14,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
15,15,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
16,16,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
17,17,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
18,18,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
19,19,Colonia Centro,La Unión,01101,,SV,"Colonia Centro, La Unión, SV",True
20,20,Colonia Centro,La Unión,01101,,SV,"Colonia Centro, La Unión, SV",True
21,21,Colonia Centro,Usulután,01101,,SV,"Colonia Centro, Usulután, SV",True
22,22,Colonia Centro,Usulután,01101,,SV,"Colonia Centro, Usulután, SV",True
23,23,Colonia Centro,San Miguel,01101,,SV,"Colonia Centro, San Miguel, SV",True
24,24,Colonia Centro,San Miguel,01101,,SV,"Colonia Centro, San Miguel, SV",True
25,25,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
26,26,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
27,27,Colonia Centro,Apopa,01101,,SV,"Colonia Centro, Apopa, SV",True
28,28,Colonia Centro,Apopa,01101,,SV,"Colonia Centro, Apopa, SV",True
29,29,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
30,30,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
31,31,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
32,32,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
33,33,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
34,34,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
35,35,Colonia Centro,Soyapango,01101,,SV,"Colonia Centro, Soyapango, SV",True
36,36,Colonia Centro,Soyapango,01101,,SV,"Colonia Centro, Soyapango, SV",True
37,37,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
38,38,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
39,39,Colonia Centro,Apopa,01101,,SV,"Colonia Centro, Apopa, SV",True
40,40,Colonia Centro,Apopa,01101,,SV,"Colonia Centro, Apopa, SV",True
41,41,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
42,42,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
43,43,Colonia Centro,San Vicente,01101,,SV,"Colonia Centro, San Vicente, SV",True
44,44,Colonia Centro,San Vicente,01101,,SV,"Colonia Centro, San Vicente, SV",True
45,45,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
46,46,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
47,47,Colonia Centro,La Unión,01101,,SV,"Colonia Centro, La Unión, SV",True
48,48,Colonia Centro,La Unión,01101,,SV,"Colonia Centro, La Unión, SV",True
49,49,Colonia Centro,San Vicente,01101,,SV,"Colonia Centro, San Vicente, SV",True
50,50,Colonia Centro,San Vicente,01101,,SV,"Colonia Centro, San Vicente, SV",True
51,51,Colonia Centro,Sonsonate,01101,,SV,"Colonia Centro, Sonsonate, SV",True
52,52,Colonia Centro,Sonsonate,01101,,SV,"Colonia Centro, Sonsonate, SV",True
53,53,Colonia Centro,Cojutepeque,01101,,SV,"Colonia Centro, Cojutepeque, SV",True
54,54,Colonia Centro,Cojutepeque,01101,,SV,"Colonia Centro, Cojutepeque, SV",True
55,55,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
56,56,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
57,57,Colonia Centro,Apopa,01101,,SV,"Colonia Centro, Apopa, SV",True
58,58,Colonia Centro,Apopa,01101,,SV,"Colonia Centro, Apopa, SV",True
59,59,Colonia Centro,Ahuachapán,01101,,SV,"Colonia Centro, Ahuachapán, SV",True
60,60,Colonia Centro,Ahuachapán,01101,,SV,"Colonia Centro, Ahuachapán, SV",True
61,61,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
62,62,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
63,63,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
64,64,Colonia Centro,Mejicanos,01101,,SV,"Colonia Centro, Mejicanos, SV",True
65,65,Colonia Centro,Sonsonate,01101,,SV,"Colonia Centro, Sonsonate, SV",True
66,66,Colonia Centro,Sonsonate,01101,,SV,"Colonia Centro, Sonsonate, SV",True
67,67,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
68,68,Colonia Centro,Ilopango,01101,,SV,"Colonia Centro, Ilopango, SV",True
69,69,Colonia Centro,Chalatenango,01101,,SV,"Colonia Centro, Chalatenango, SV",True
70,70,Colonia Centro,Chalatenango,01101,,SV,"Colonia Centro, Chalatenango, SV",True
71,71,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
72,72,Colonia Centro,Metapán,01101,,SV,"Colonia Centro, Metapán, SV",True
73,73,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
74,74,Colonia Centro,Antiguo Cuscatlán,01101,,SV,"Colonia Centro, Antiguo Cuscatlán, SV",True
75,75,Colonia Centro,Delgado,01101,,SV,"Colonia Centro, Delgado, SV",True
76,76,Colonia Centro,Delgado,01101,,SV,"Colonia Centro, Delgado, SV",True
77,77,Colonia Centro,Cojutepeque,01101,,SV,"Colonia Centro, Cojutepeque, SV",True
78,78,Colonia Centro,Cojutepeque,01101,,SV,"Colonia Centro, Cojutepeque, SV",True
79,79,Colonia Centro,Chalatenango,01101,,SV,"Colonia Centro, Chalatenango, SV",True
80,80,Colonia Centro,Chalatenango,01101,,SV,"Colonia Centro, Chalatenango, SV",True
