orden_id,orden_externo_id,numero_orden,currency,created_at,tipo_orden,canal,tasa_cambio
1,14,COI001001,USD,2025-07-12 18:19:54,Venta,E-Commerce,1.0
2,15,COI001002,USD,2023-11-14 16:07:51,Venta,E-Commerce,1.0
3,19,COI002006,USD,2025-09-02 20:33:18,Venta,E-Commerce,1.0
4,22,COI002009,USD,2023-10-13 09:01:38,Venta,E-Commerce,1.0
5,30,COI004017,USD,2024-03-07 08:17:44,Venta,E-Commerce,1.0
6,31,COI004018,USD,2025-09-25 20:24:57,Venta,E-Commerce,1.0
7,42,COI006029,USD,2023-02-03 08:49:47,Venta,E-Commerce,1.0
8,43,COI007030,USD,2025-01-21 17:38:28,Venta,E-Commerce,1.0
9,51,COI008038,USD,2023-06-01 14:31:07,Venta,E-Commerce,1.0
10,56,COI009043,USD,2024-05-15 11:23:53,Venta,E-Commerce,1.0
11,67,COI011054,USD,2025-03-08 18:05:54,Venta,E-Commerce,1.0
12,70,COI012057,USD,2024-12-14 18:02:47,Venta,E-Commerce,1.0
13,75,ORD-00000075,USD,2025-06-14 20:28:42,Venta,E-Commerce,1.0
14,78,ORD-00000078,USD,2025-05-17 08:00:44,Venta,E-Commerce,1.0
15,87,ORD-00000087,USD,2025-07-27 11:09:49,Venta,E-Commerce,1.0
16,93,ORD-00000093,USD,2023-11-02 13:52:46,Venta,E-Commerce,1.0
17,117,ORD-00000117,USD,2023-11-22 15:00:24,Venta,E-Commerce,1.0
18,126,ORD-00000126,USD,2024-04-06 19:36:57,Venta,E-Commerce,1.0
19,127,ORD-00000127,USD,2024-06-30 14:39:03,Venta,E-Commerce,1.0
20,167,ORD-00000167,USD,2025-04-20 12:27:28,Venta,E-Commerce,1.0
21,169,ORD-00000169,USD,2025-01-19 10:49:08,Venta,E-Commerce,1.0
22,170,ORD-00000170,USD,2023-05-16 19:01:09,Venta,E-Commerce,1.0
23,179,ORD-00000179,USD,2023-08-11 15:58:26,Venta,E-Commerce,1.0
24,181,ORD-00000181,USD,2025-02-09 13:13:11,Venta,E-Commerce,1.0
25,185,ORD-00000185,USD,2023-05-31 11:55:57,Venta,E-Commerce,1.0
26,186,ORD-00000186,USD,2025-02-13 18:00:59,Venta,E-Commerce,1.0
27,191,ORD-00000191,USD,2023-01-11 20:57:13,Venta,E-Commerce,1.0
28,193,ORD-00000193,USD,2025-06-11 10:08:19,Venta,E-Commerce,1.0
29,202,ORD-00000202,USD,2023-07-06 11:47:59,Venta,E-Commerce,1.0
30,206,ORD-00000206,USD,2024-11-27 11:56:11,Venta,E-Commerce,1.0
31,209,ORD-00000209,USD,2023-09-12 18:18:35,Venta,E-Commerce,1.0
