producto_id,producto_externo_id,sku,nombre,tipo,created_at,updated_at,activo,descripcion,categoria,marca,unidad_medida,precio_base,costo_estandar
1,1,0RT28,Sandalias Deportivas Acuáticas,simple,2025-10-05 04:18:37,2025-10-05 04:19:18,True,Sandalias Deportivas Acuáticas,Calzado,Sandalias,Pieza,0.0,0.0
2,2,1AB92,Botas Trabajo Punta Acero Seguridad,simple,2025-10-05 04:18:38,2025-10-05 04:19:19,True,Botas Trabajo Punta Acero Seguridad,Calzado,Botas,Pieza,0.0,0.0
3,3,1GB82,Calzado Gym Training Multisport,simple,2025-10-05 04:18:38,2025-10-05 04:19:18,True,Calzado Gym Training Multisport,Calzado,Calzado,Pieza,0.0,0.0
4,4,1GS46,Zapatillas Tenis Premium Leather,simple,2025-10-05 04:18:38,2025-10-05 04:19:18,True,Zapatillas Tenis Premium Leather,Calzado,Zapatillas,Pieza,0.0,0.0
5,5,1TB10,Botas Invierno Térmicas Impermeables,simple,2025-10-05 04:18:39,2025-10-05 04:19:19,True,Botas Invierno Térmicas Impermeables,Calzado,Botas,Pieza,0.0,0.0
6,6,2CF67,Botas Lluvia Impermeables Pro,simple,2025-10-05 04:18:39,2025-10-05 04:19:18,True,Botas Lluvia Impermeables Pro,Calzado,Botas,Pieza,0.0,0.0
7,7,2JD29,Calzado Natación Acuático Grip,simple,2025-10-05 04:18:39,2025-10-05 04:19:18,True,Calzado Natación Acuático Grip,Calzado,Calzado,Pieza,0.0,0.0
8,8,2JD90,Calzado Boxing Botín Competencia,simple,2025-10-05 04:18:39,2025-10-05 04:19:18,True,Calzado Boxing Botín Competencia,Calzado,Calzado,Pieza,0.0,0.0
9,9,2JV62,Sandalias Ortopédicas Soporte Arco,simple,2025-10-05 04:18:39,2025-10-05 04:19:18,True,Sandalias Ortopédicas Soporte Arco,Calzado,Sandalias,Pieza,0.0,0.0
10,10,2LM04,Botas Casual Chukka Ante,simple,2025-10-05 04:18:39,2025-10-05 04:19:19,True,Botas Casual Chukka Ante,Calzado,Botas,Pieza,0.0,0.0
11,11,2RW93,Zapatillas Slip-On Casual Relax,simple,2025-10-05 04:18:39,2025-10-05 04:19:19,True,Zapatillas Slip-On Casual Relax,Calzado,Zapatillas,Pieza,0.0,0.0
12,12,2TK59,Sandalias Gladiador Fashion Mujer,simple,2025-10-05 04:18:39,2025-10-05 04:19:18,True,Sandalias Gladiador Fashion Mujer,Calzado,Sandalias,Pieza,0.0,0.0
13,13,2WE71,Tacones Stiletto Mujer Elegantes,simple,2025-10-05 04:18:39,2025-10-05 04:19:19,True,Tacones Stiletto Mujer Elegantes,Calzado,Tacones,Pieza,0.0,0.0
14,14,3ET67,Zapatos Loafer Borlas Ejecutivos,simple,2025-10-05 04:18:40,2025-10-05 04:19:19,True,Zapatos Loafer Borlas Ejecutivos,Calzado,Zapatos,Pieza,0.0,0.0
15,15,3JK76,Sandalias Cuero Artesanales Premium,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Sandalias Cuero Artesanales Premium,Calzado,Sandalias,Pieza,0.0,0.0
16,16,3JK90,Calzado Golf Waterproof Premium,simple,2025-10-05 04:18:40,2025-10-05 04:19:19,True,Calzado Golf Waterproof Premium,Calzado,Calzado,Pieza,0.0,0.0
17,17,3LV37,Zapatillas Running Ligeras Performance,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Zapatillas Running Ligeras Performance,Calzado,Zapatillas,Pieza,0.0,0.0
18,18,3RE23,Botas Motociclista Protección Total,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Botas Motociclista Protección Total,Calzado,Botas,Pieza,0.0,0.0
19,19,3TU20,Zapatos Oxford Mujer Profesionales,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Zapatos Oxford Mujer Profesionales,Calzado,Zapatos,Pieza,0.0,0.0
20,20,3UK92,Zapatillas Casual Canvas Juveniles,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Zapatillas Casual Canvas Juveniles,Calzado,Zapatillas,Pieza,0.0,0.0
21,21,3YB32,Sandalias Plataforma Mujer Elegantes,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Sandalias Plataforma Mujer Elegantes,Calzado,Sandalias,Pieza,0.0,0.0
22,22,4HC51,Zapatillas Running Trail Mountain,simple,2025-10-05 04:18:40,2025-10-05 04:19:18,True,Zapatillas Running Trail Mountain,Calzado,Zapatillas,Pieza,0.0,0.0
