balance_id,periodo_id,cuenta_id,saldo_inicial,debitos,creditos,saldo_final,fecha_id
1,202401,1,0.0,500000.0,0.0,500000.0,20240101
2,202401,2,0.0,0.0,300000.0,-300000.0,20240101
3,202401,3,0.0,250000.0,0.0,250000.0,20240101
4,202401,4,0.0,150000.0,0.0,150000.0,20240101
5,202401,5,0.0,0.0,200000.0,-200000.0,20240101
6,202401,6,0.0,120000.0,0.0,120000.0,20240101
7,202402,1,500000.0,350000.0,100000.0,750000.0,20240201
8,202402,2,-300000.0,50000.0,250000.0,-500000.0,20240201
9,202402,3,250000.0,180000.0,20000.0,410000.0,20240201
10,202402,4,150000.0,220000.0,30000.0,340000.0,20240201
11,202402,5,-200000.0,40000.0,180000.0,-340000.0,20240201
12,202402,6,120000.0,90000.0,15000.0,195000.0,20240201
13,202403,1,750000.0,420000.0,120000.0,1050000.0,20240301
14,202403,2,-500000.0,80000.0,320000.0,-740000.0,20240301
15,202403,3,410000.0,210000.0,35000.0,585000.0,20240301
16,202403,4,340000.0,190000.0,45000.0,485000.0,20240301
17,202403,5,-340000.0,60000.0,240000.0,-520000.0,20240301
18,202403,6,195000.0,110000.0,25000.0,280000.0,20240301
