estado_resultados_id,periodo_id,cuenta_id,centro_costo_id,ingresos,costos,gastos,utilidad_bruta,utilidad_neta,fecha_id
1,202401,7,1,850000.0,450000.0,120000.0,400000.0,280000.0,20240101
2,202401,8,2,620000.0,350000.0,95000.0,270000.0,175000.0,20240101
3,202401,9,3,540000.0,280000.0,88000.0,260000.0,172000.0,20240101
4,202401,10,1,720000.0,390000.0,105000.0,330000.0,225000.0,20240101
5,202401,11,2,680000.0,370000.0,98000.0,310000.0,212000.0,20240101
6,202402,7,1,920000.0,480000.0,135000.0,440000.0,305000.0,20240201
7,202402,8,2,710000.0,390000.0,108000.0,320000.0,212000.0,20240201
8,202402,9,3,590000.0,310000.0,95000.0,280000.0,185000.0,20240201
9,202402,10,1,780000.0,420000.0,115000.0,360000.0,245000.0,20240201
10,202402,11,2,740000.0,400000.0,105000.0,340000.0,235000.0,20240201
11,202403,7,1,1050000.0,540000.0,155000.0,510000.0,355000.0,20240301
12,202403,8,2,830000.0,450000.0,125000.0,380000.0,255000.0,20240301
13,202403,9,3,670000.0,350000.0,108000.0,320000.0,212000.0,20240301
14,202403,10,1,890000.0,470000.0,130000.0,420000.0,290000.0,20240301
15,202403,11,2,820000.0,440000.0,118000.0,380000.0,262000.0,20240301
