movimiento_id,fecha_id,producto_id,almacen_id,tipo_movimiento_id,proveedor_id,usuario_id,cantidad,costo_unitario,costo_total,stock_anterior,stock_resultante,documento,observaciones
1,20230907,2,1,1,1,1,1785.0,107.2,191355.57,0.0,1785.0,COMP-000001,Compra inicial de ADIDAS ULTRABOOST 22 BLANCO
2,20230904,2,1,1,8,1,1003.0,107.2,107523.61,0.0,1003.0,COMP-000002,Compra inicial de ADIDAS ULTRABOOST 22 BLANCO
3,20230917,2,1,1,2,1,1002.0,107.2,107416.4,0.0,1002.0,COMP-000003,Compra inicial de ADIDAS ULTRABOOST 22 BLANCO
4,20231102,2,1,1,1,1,1.0,107.2,107.2,1002.0,1001.0,ORDEN-188086,Venta orden #188086
5,20230824,22,1,1,6,1,1724.0,71.46,123197.04,0.0,1724.0,COMP-000005,Compra inicial de ADIDAS GAZELLE VINTAGE AZUL
6,20230924,22,1,1,4,1,1514.0,71.46,108190.44,0.0,1514.0,COMP-000006,Compra inicial de ADIDAS GAZELLE VINTAGE AZUL
7,20230925,22,1,1,3,1,1972.0,71.46,140919.12,0.0,1972.0,COMP-000007,Compra inicial de ADIDAS GAZELLE VINTAGE AZUL
8,20231102,22,1,1,1,1,4.0,71.46,285.84,1514.0,1510.0,ORDEN-188086,Venta orden #188086
9,20230819,59,1,1,1,1,1738.0,74.4,129307.2,0.0,1738.0,COMP-000009,Compra inicial de JORDAN WHY NOT ZER0.5 RUSS
10,20230811,59,1,1,5,1,519.0,74.4,38613.6,0.0,519.0,COMP-000010,Compra inicial de JORDAN WHY NOT ZER0.5 RUSS
11,20231002,59,1,1,5,1,1366.0,74.4,101630.4,0.0,1366.0,COMP-000011,Compra inicial de JORDAN WHY NOT ZER0.5 RUSS
12,20231102,59,1,1,1,1,4.0,74.4,297.6,1366.0,1362.0,ORDEN-188086,Venta orden #188086
13,20230914,61,1,1,5,1,1411.0,114.85,162047.71,0.0,1411.0,COMP-000013,Compra inicial de NIKE KYRIE 8 INFINITY
14,20230830,61,1,1,1,1,1681.0,114.85,193056.13,0.0,1681.0,COMP-000014,Compra inicial de NIKE KYRIE 8 INFINITY
15,20230804,61,1,1,7,1,1805.0,114.85,207297.03,0.0,1805.0,COMP-000015,Compra inicial de NIKE KYRIE 8 INFINITY
16,20231102,61,1,1,1,1,4.0,114.85,459.38,1805.0,1801.0,ORDEN-188086,Venta orden #188086
17,20230824,10,1,1,1,1,672.0,96.7,64979.71,0.0,672.0,COMP-000017,Compra inicial de DR. MARTENS 1460 ORIGINAL NEGRO
18,20230928,10,1,1,2,1,1383.0,96.7,133730.57,0.0,1383.0,COMP-000018,Compra inicial de DR. MARTENS 1460 ORIGINAL NEGRO
19,20231001,10,1,1,8,1,1868.0,96.7,180628.13,0.0,1868.0,COMP-000019,Compra inicial de DR. MARTENS 1460 ORIGINAL NEGRO
20,20231102,10,1,1,1,1,3.0,96.7,290.09,1868.0,1865.0,ORDEN-96321,Venta orden #96321
21,20230909,18,1,1,7,1,1607.0,91.01,146249.86,0.0,1607.0,COMP-000021,Compra inicial de NEW BALANCE 574 CORE NAVY
22,20230818,18,1,1,6,1,1481.0,91.01,134782.85,0.0,1481.0,COMP-000022,Compra inicial de NEW BALANCE 574 CORE NAVY
23,20230908,18,1,1,7,1,533.0,91.01,48507.26,0.0,533.0,COMP-000023,Compra inicial de NEW BALANCE 574 CORE NAVY
24,20231102,18,1,1,1,1,2.0,91.01,182.02,1481.0,1479.0,ORDEN-96321,Venta orden #96321
25,20230906,24,1,1,3,1,1714.0,92.93,159288.88,0.0,1714.0,COMP-000025,Compra inicial de CONVERSE RUN STAR HIKE NEGRO
26,20230921,24,1,1,1,1,1974.0,92.93,183451.72,0.0,1974.0,COMP-000026,Compra inicial de CONVERSE RUN STAR HIKE NEGRO
27,20230924,24,1,1,2,1,763.0,92.93,70908.64,0.0,763.0,COMP-000027,Compra inicial de CONVERSE RUN STAR HIKE NEGRO
28,20231102,24,1,1,1,1,2.0,92.93,185.87,763.0,761.0,ORDEN-96321,Venta orden #96321
29,20230830,34,1,1,2,1,882.0,76.14,67155.48,0.0,882.0,COMP-000029,Compra inicial de CONVERSE JACK PURCELL SIGNATURE
30,20230913,34,1,1,8,1,1508.0,76.14,114819.12,0.0,1508.0,COMP-000030,Compra inicial de CONVERSE JACK PURCELL SIGNATURE
31,20230809,34,1,1,8,1,826.0,76.14,62891.64,0.0,826.0,COMP-000031,Compra inicial de CONVERSE JACK PURCELL SIGNATURE
32,20231102,34,1,1,1,1,4.0,76.14,304.56,1508.0,1504.0,ORDEN-96321,Venta orden #96321
33,20230928,30,1,1,4,1,615.0,115.9,71279.73,0.0,615.0,COMP-000033,Compra inicial de REEBOK QUESTION MID IVERSON
34,20230808,30,1,1,3,1,1898.0,115.9,219982.0,0.0,1898.0,COMP-000034,Compra inicial de REEBOK QUESTION MID IVERSON
35,20230919,30,1,1,3,1,1974.0,115.9,228790.55,0.0,1974.0,COMP-000035,Compra inicial de REEBOK QUESTION MID IVERSON
36,20231102,30,1,1,1,1,4.0,115.9,463.61,1898.0,1894.0,ORDEN-155110,Venta orden #155110
37,20230901,56,1,1,5,1,1990.0,119.86,238525.38,0.0,1990.0,COMP-000037,Compra inicial de NIKE ZOOM FREAK 3 GIANNIS
38,20230918,56,1,1,3,1,1938.0,119.86,232292.56,0.0,1938.0,COMP-000038,Compra inicial de NIKE ZOOM FREAK 3 GIANNIS
39,20230918,56,1,1,7,1,1629.0,119.86,195255.2,0.0,1629.0,COMP-000039,Compra inicial de NIKE ZOOM FREAK 3 GIANNIS
40,20231102,56,1,1,1,1,3.0,119.86,359.59,1938.0,1935.0,ORDEN-155110,Venta orden #155110
41,20230901,8,1,1,3,1,778.0,112.47,87501.66,0.0,778.0,COMP-000041,Compra inicial de REEBOK CLASSIC LEATHER BLANCO
42,20230830,8,1,1,3,1,1054.0,112.47,118543.38,0.0,1054.0,COMP-000042,Compra inicial de REEBOK CLASSIC LEATHER BLANCO
43,20230912,8,1,1,4,1,1080.0,112.47,121467.6,0.0,1080.0,COMP-000043,Compra inicial de REEBOK CLASSIC LEATHER BLANCO
44,20231102,8,1,1,1,1,5.0,112.47,562.35,1080.0,1075.0,ORDEN-139664,Venta orden #139664
45,20230925,45,1,1,4,1,1924.0,118.63,228247.97,0.0,1924.0,COMP-000045,Compra inicial de PUMA RALPH SAMPSON LO RETRO
46,20230831,45,1,1,3,1,1223.0,118.63,145086.94,0.0,1223.0,COMP-000046,Compra inicial de PUMA RALPH SAMPSON LO RETRO
47,20230814,45,1,1,2,1,1145.0,118.63,135833.64,0.0,1145.0,COMP-000047,Compra inicial de PUMA RALPH SAMPSON LO RETRO
48,20231102,45,1,1,1,1,1.0,118.63,118.63,1924.0,1923.0,ORDEN-139664,Venta orden #139664
49,20230923,32,1,1,6,1,683.0,85.21,58195.7,0.0,683.0,COMP-000049,Compra inicial de ADIDAS FORUM LOW CLEAN
50,20230924,32,1,1,1,1,1620.0,85.21,138033.72,0.0,1620.0,COMP-000050,Compra inicial de ADIDAS FORUM LOW CLEAN
51,20230806,32,1,1,8,1,783.0,85.21,66716.3,0.0,783.0,COMP-000051,Compra inicial de ADIDAS FORUM LOW CLEAN
52,20231102,32,1,1,1,1,1.0,85.21,85.21,683.0,682.0,ORDEN-6198,Venta orden #6198
