venta_id,fecha_id,cliente_id,producto_id,orden_id,usuario_id,almacen_id,impuesto_id,cantidad,precio_unitario,subtotal,descuento,impuesto,envio,total,costo_unitario,costo_total,margen,created_at
1,20240831,1,20,2650,1,1,1,1.0,30.79,30.79,0.0,4.0,0.0,34.8,18.48,18.48,12.32,2026-01-06 04:57:43.082130
2,20250104,1,50,1143,1,1,1,1.0,47.94,47.94,0.0,6.23,0.0,54.17,28.76,28.76,19.17,2026-01-06 04:57:43.082130
3,20250119,1,28,21,1,1,1,1.0,21.18,21.18,0.0,2.75,0.0,23.93,12.71,12.71,8.47,2026-01-06 04:57:43.082130
4,20230811,1,1,23,1,1,1,1.0,19.21,19.21,0.0,2.5,0.0,21.7,11.52,11.52,7.68,2026-01-06 04:57:43.082130
5,20250630,1,51,6968,1,1,1,1.0,39.58,39.58,0.0,5.15,0.0,44.73,23.75,23.75,15.83,2026-01-06 04:57:43.082130
6,20231122,1,18,17,1,1,1,2.0,40.48,80.97,0.0,10.53,0.0,91.5,24.29,48.58,32.39,2026-01-06 04:57:43.082130
7,20250630,1,50,6968,1,1,1,1.0,48.11,48.11,0.0,6.25,0.0,54.36,28.87,28.87,19.24,2026-01-06 04:57:43.082130
8,20231122,1,33,17,1,1,1,1.0,25.21,25.21,0.0,3.28,0.0,28.49,15.13,15.13,10.09,2026-01-06 04:57:43.082130
9,20231122,1,28,17,1,1,1,1.0,20.82,20.82,0.0,2.71,0.0,23.53,12.49,12.49,8.33,2026-01-06 04:57:43.082130
10,20250630,1,12,2041,1,1,1,1.0,21.24,21.24,0.0,2.76,0.0,24.01,12.75,12.75,8.5,2026-01-06 04:57:43.082130
11,20231203,1,42,22047,1,1,1,1.0,22.12,22.12,0.0,2.88,0.0,25.0,13.27,13.27,8.85,2026-01-06 04:57:43.082130
12,20250701,1,12,15852,1,1,1,2.0,20.16,40.32,0.0,5.24,0.0,45.56,12.1,24.19,16.13,2026-01-06 04:57:43.082130
13,20250702,1,25,3988,1,1,1,1.0,48.71,48.71,0.0,6.33,0.0,55.04,29.23,29.23,19.48,2026-01-06 04:57:43.082130
14,20250702,1,16,3988,1,1,1,1.0,34.93,34.93,0.0,4.54,0.0,39.48,20.96,20.96,13.97,2026-01-06 04:57:43.082130
15,20250702,1,23,7055,1,1,1,1.0,42.06,42.06,0.0,5.47,0.0,47.53,25.24,25.24,16.83,2026-01-06 04:57:43.082130
16,20250731,1,5,2416,1,1,1,1.0,37.3,37.3,0.0,4.85,0.0,42.15,22.38,22.38,14.92,2026-01-06 04:57:43.082130
17,20231203,1,25,22047,1,1,1,1.0,49.48,49.48,0.0,6.43,0.0,55.92,29.69,29.69,19.79,2026-01-06 04:57:43.082130
18,20240221,1,36,26082,1,1,1,1.0,15.68,15.68,0.0,2.04,0.0,17.71,9.41,9.41,6.27,2026-01-06 04:57:43.082130
19,20250202,1,24,837,1,1,1,1.0,45.37,45.37,0.0,5.9,0.0,51.27,27.22,27.22,18.15,2026-01-06 04:57:43.082130
20,20240225,1,56,577,1,1,1,1.0,47.95,47.95,0.0,6.23,0.0,54.19,28.77,28.77,19.18,2026-01-06 04:57:43.082130
21,20240315,1,46,2366,1,1,1,1.0,43.26,43.26,0.0,5.62,0.0,48.89,25.96,25.96,17.31,2026-01-06 04:57:43.082130
22,20240629,1,47,2704,1,1,1,1.0,34.01,34.01,0.0,4.42,0.0,38.43,20.41,20.41,13.6,2026-01-06 04:57:43.082130
23,20250829,1,10,3063,1,1,1,1.0,43.37,43.37,0.0,5.64,0.0,49.01,26.02,26.02,17.35,2026-01-06 04:57:43.082130
24,20240630,1,56,19,1,1,1,1.0,50.58,50.58,0.0,6.58,0.0,57.16,30.35,30.35,20.23,2026-01-06 04:57:43.082130
